0.00-11.62 press up
18.73 steer 54783
18.74 steer 58203
18.75 steer 58773
18.76 steer 60484
18.77 steer 61054
18.79 steer 62196
18.82 steer 59914
18.88 steer 62196
18.89 steer 62766
18.90 steer 65047
18.91 steer 65536
18.98 steer 64476
18.99 steer 63336
19.00 steer 62196
19.01 steer 58773
19.02 steer 54213
19.03 steer 45659
19.04 steer 41668
19.05 steer 39388
19.06 steer 38818
19.07 steer 37676
19.09 steer 40528
19.10 steer 41098
19.12 steer 41668
19.14 steer 42809
19.17 steer 43379
19.18 steer 43949
19.28 steer 41668
19.29 steer 39388
19.30 steer 34825
19.31 steer 31975
19.32 steer 28554
19.33 steer 23991
19.34 steer 8597
19.35 steer 0
19.37 steer -2834
19.38 steer -23768
19.39 steer -34516
19.40 steer -44133
19.41 steer -51489
19.42 steer -59409
19.43 steer -65536
20.08 steer -64501
20.09 steer -59409
20.10 steer -48093
20.11 steer -43567
20.12 steer -42436
20.13 steer -44133
20.14 steer -45264
20.15-27.15 press up
20.16 steer -45830
20.17 steer -48659
20.18 steer -52055
20.19 steer -54884
20.20 steer -58844
20.21 steer -63369
20.22 steer -65536
20.67 steer -59975
20.68 steer -46961
20.69 steer -40739
20.70 steer -35647
20.71 steer -21505
20.73 steer -13017
20.74 steer -11320
20.75 steer -8491
20.76 steer -6228
20.77 steer -5663
20.78 steer -5097
20.79 steer -3400
20.80 steer -2268
20.82 steer 0
20.85 steer -2834
20.88 steer -3400
20.89 steer -5097
20.90 steer -8491
20.91 steer -10754
20.92 steer -11320
20.93 steer -13583
20.94 steer -14151
20.96 steer -16979
20.98 steer -17545
20.99 steer -19808
21.00 steer -25465
21.01 steer -28293
21.02 steer -31687
21.03 steer -32819
21.04 steer -35082
21.05 steer -36213
21.06 steer -39042
21.07 steer -40739
21.08 steer -41304
21.09 steer -43002
21.10 steer -44133
21.12 steer -45264
21.16 steer -43567
21.17 steer -43002
21.18 steer -42436
21.20 steer -38476
21.21 steer -30556
21.22 steer -24899
21.23 steer -17545
21.24 steer -13017
21.25 steer -10188
21.26 steer -5097
21.30 steer -6794
21.31 steer -13583
21.32 steer -17545
21.33 steer -23768
21.34 steer -27162
21.35 steer -32253
21.36 steer -34516
21.38 steer -35647
21.42 steer -33385
21.46 steer -32819
21.48 steer -28293
21.49 steer -26596
21.50 steer -22636
21.51 steer -15848
21.52 steer -11886
21.53 steer -8491
21.54 steer -2834
21.56 steer 0
21.84 steer -1137
21.85 steer -2834
21.87 steer 0
22.20 steer 1753
22.21 steer 6316
22.22 steer 9167
22.23 steer 12587
22.24 steer 15440
22.25 steer 18290
22.26 steer 22281
22.27 steer 24561
22.28 steer 26274
22.29 steer 27984
22.31 steer 29694
22.33 steer 30264
22.36 steer 28554
22.38 steer 27984
22.44 steer 26274
22.46 steer 25701
22.53 steer 24561
22.54 steer 25701
22.56 steer 23991
22.57 steer 23421
22.63 steer 22281
22.65 steer 21711
22.67 steer 21141
22.68 steer 20001
22.69 steer 19430
22.70 steer 17150
22.71 steer 14870
22.72 steer 11447
22.73 steer 8597
22.74 steer 6886
22.75 steer 2896
22.76 steer 0
23.04 steer -2268
23.05 steer -3966
23.06 steer -5663
23.07 steer -10188
23.08 steer -10754
23.09 steer -11886
23.10 steer -16979
23.12 steer -18676
23.13 steer -19242
23.14 steer -21505
23.16 steer -23768
23.17 steer -24333
23.18 steer -22636
23.19 steer -24333
23.20 steer -22070
23.21 steer -22636
23.24 steer -20939
23.26 steer -24333
23.27 steer -24899
23.29 steer -24333
23.31 steer -23768
23.33 steer -25465
23.41 steer -26596
23.42 steer -24899
23.43 steer -25465
23.44 steer -26596
23.45 steer -24899
23.46 steer -26596
23.51 steer -27727
23.52 steer -25465
23.56 steer -24899
23.67 steer -26596
24.14 steer -24899
24.16 steer -24333
24.17 steer -23768
24.23 steer -19808
24.24 steer -18676
24.25 steer -16413
24.26 steer -10754
24.28 steer -2268
24.29 steer 0
24.46 steer -3966
24.47 steer -6228
24.48 steer -9057
24.49 steer -10754
24.50 steer -11320
24.51 steer -14716
24.52 steer -16979
24.53 steer -17545
24.54 steer -18676
24.56 steer -16979
24.59 steer -16413
24.60 steer -15848
24.68 steer -14716
24.75 steer -13017
24.76 steer -11886
24.77 steer -8491
24.78 steer -5097
24.79 steer 0
25.00 steer 4036
25.01 steer 8597
