0.00-24.08 press up
35.63 steer 49345
35.64 steer 49787
35.65 steer 50760
35.66 steer 51228
35.67 steer 51801
35.68 steer 52501
35.69 steer 54035
35.70 steer 54664
35.71 steer 55205
35.72 steer 55666
35.73 steer 56008
35.74 steer 56547
35.75 steer 56739
35.76 steer 56893
35.77 steer 57015
35.78 steer 57113
35.80 steer 57274
35.99 steer 57494
36.05 steer 56485
36.07 steer 53707
36.08 steer 49528
36.10 steer 31459
36.11 steer 28826
36.12 steer 9144
36.13 steer 6596
36.14 steer 3731
36.15 steer 0
36.20 steer -2389
36.21 steer -18883
36.22 steer -19807
36.23 steer -21390
36.24 steer -25073
36.25 steer -26972
36.26 steer -28686
36.27 steer -30108
36.28 steer -31259
36.29 steer -32927
36.30 steer -33514
36.31 steer -33957
36.32 steer -34507
36.35 steer -32663
36.37 steer -29261
36.38 steer -27216
36.39 steer -24819
36.40 steer -4295
36.41 steer -3006
36.42 steer -1410
36.43 steer 0
38.09 steer -17919
38.10 steer -20208
38.11 steer -43787
38.12 steer -62242
38.13 steer -65536
38.51 steer -64524
38.52 steer -47627
38.53 steer -46627
38.54 steer -44097
38.55 steer -24750
38.56 steer -22897
38.57 steer -2878
38.58 steer 0
38.79 steer -809
38.80 steer -3277
38.81 steer -5667
38.82 steer -7995
38.83 steer -9983
38.84 steer -11892
38.85 steer -13442
38.86 steer -15754
38.87 steer -16596
38.88 steer -17245
38.89 steer -17763
38.90 steer -18523
38.91 steer -18798
38.92 steer -19018
38.93 steer -19323
38.94 steer -19438
38.96 steer -19603
39.01 steer -19837
39.21 steer -19236
39.22 steer -18351
39.23 steer -17236
39.24 steer -15766
39.25 steer -13672
39.26 steer -11341
39.27 steer -6547
39.28 steer -4619
39.29 steer -3038
39.30 steer -859
39.31 steer 0
39.33 steer -4797
39.35 steer -23342
39.37 steer -26943
39.38 steer -28977
39.39 steer -31445
39.40 steer -33938
39.41 steer -38652
39.42 steer -40562
39.43 steer -42312
39.44 steer -46308
39.45 steer -48069
39.46 steer -49753
39.47 steer -51205
39.48 steer -53852
39.49 steer -54941
39.50 steer -55852
39.51 steer -56776
39.52 steer -65536
39.81 steer -64760
39.82 steer -63357
39.83 steer -45748
39.85 steer -42810
39.86 steer -40363
39.87 steer -37695
39.88 steer -34982
39.89 steer -32720
39.90 steer -29408
39.91 steer -28197
39.92 steer -27064
39.93 steer -25697
39.94 steer -20837
39.95 steer 0
40.72 steer 731
40.73 steer 3148
40.74 steer 4437
40.75 steer 5648
40.76 steer 7444
40.77 steer 8167
40.78 steer 8869
40.79 steer 9584
40.80 steer 10878
40.81 steer 11302
40.82 steer 11752
40.83 steer 13094
40.85 steer 15238
40.86 steer 16268
40.87 steer 17133
40.88 steer 18468
40.89 steer 18991
40.90 steer 19463
40.91 steer 19869
40.92 steer 20530
40.93 steer 20805
40.94 steer 21066
40.95 steer 21275
40.96 steer 21525
40.97 steer 21876
40.98 steer 23034
40.99 steer 23796
41.00 steer 24514
41.01 steer 25156
41.02 steer 26271
41.03 steer 26686
41.04 steer 27057
41.05 steer 27355
41.06 steer 27899
41.07 steer 28303
41.08 steer 28979
41.09 steer 29711
41.10 steer 31122
41.11 steer 31956
41.12 steer 32840
41.13 steer 33872
41.14 steer 35808
41.15 steer 36668
41.16 steer 37408
41.17 steer 38138
41.18 steer 39982
41.19 steer 40966
41.20 steer 41913
41.21 steer 42888
41.22 steer 44620
41.23 steer 49645
41.24 steer 52618
41.25 steer 65536
41.54 steer 65132
41.55 steer 43776
41.57 steer 20323
41.58 steer 0
41.59 steer -3829
41.60 steer 0
41.84 steer 11894
41.85 steer 13305
41.86 steer 15013
41.87 steer 19844
41.88 steer 22282
41.89 steer 24287
41.90 steer 25876
41.91 steer 27108
41.92 steer 26711
41.93 steer 23718
41.94 steer 0
42.93 steer 2251
42.94 steer 4963
42.95 steer 21335
42.96 steer 22644
42.97 steer 24126
42.98 steer 25722
42.99 steer 27014
43.00 steer 28869
43.01 steer 29505
