0.00-23.00 press up
16.76 steer -63634
16.77 steer -65536
16.92 steer -65185
16.93 steer -64217
16.94 steer -62574
16.95 steer -59994
16.96 steer -42083
16.97 steer -25417
16.98 steer -23429
16.99 steer -4990
17.00 steer -1490
17.01 steer 0
17.24 press enter
17.43 steer -5866
17.44 steer -8648
17.45 steer -11222
17.46 steer -15208
17.47 steer -16635
17.48 steer -17777
17.49 steer -18690
17.50 steer -19422
17.51 steer -20463
17.52 steer -20839
17.53 steer -21128
17.54 steer -21358
17.55 steer -21676
17.56 steer -21784
17.58 steer -21940
17.60 steer -22053
17.64 steer -22181
17.78 steer -22277
17.81 steer -22406
17.82 steer -22516
17.85 steer -22626
18.04 steer -22286
18.05 steer -19516
18.06 steer -17091
18.07 steer -1208
18.08 steer 0
18.39 steer 20351
18.40 steer 20690
18.41 steer 21206
18.42 steer 23699
18.43 steer 25658
18.44 steer 28479
18.45 steer 45744
18.46 steer 47390
18.47 steer 65536
20.08 steer 63242
20.09 steer 45867
20.10 steer 43377
20.11 steer 4320
20.12 steer -9398
20.13 steer 1215
20.14 steer 0
20.76 steer 1855
20.77 steer 4139
20.78 steer 5169
20.79 steer 6105
20.80 steer 6949
20.81 steer 8254
20.82 steer 8765
20.83 steer 9256
20.84 steer 10545
20.85 steer 11171
20.86 steer 11768
20.87 steer 12259
20.88 steer 12855
20.89 steer 13905
20.90 steer 16332
20.91 steer 17449
20.92 steer 18355
20.93 steer 19697
20.94 steer 20167
20.95 steer 20557
20.96 steer 21144
20.97 steer 21367
20.98 steer 21530
20.99 steer 21660
21.00 steer 21766
21.01 steer 21917
21.03 steer 22014
21.08 steer 22142
21.17 steer 22234
21.49 steer 20507
21.50 steer 16123
21.51 steer 13144
21.52 steer 0
21.75 steer 1988
21.76 steer 4309
21.77 steer 6905
21.78 steer 9745
21.79 steer 12194
21.80 steer 15708
21.81 steer 16965
21.82 steer 17956
21.83 steer 18750
21.84 steer 19383
21.85 steer 20270
21.86 steer 20504
21.87 steer 19860
21.88 steer 18539
21.89 steer 16674
21.90 steer 11513
21.91 steer 8653
21.92 steer 6107
21.93 steer 4027
21.94 steer 1006
21.95 steer 0
22.44 steer -733
22.45 steer -1235
22.46 steer -2160
22.47 steer -2600
22.48 steer -3015
22.49 steer -3593
22.50 steer -4350
22.51 steer -5830
22.52 steer -6424
22.53 steer -7013
22.54 steer -7703
22.55 steer -8956
22.56 steer -9513
22.57 steer -10534
22.59 steer -10944
22.60 steer -11548
22.61 steer -11756
22.62 steer -11935
22.63 steer -12344
22.65 steer -12470
22.67 steer -12710
22.70 steer -12860
22.74 steer -12935
22.78 steer -10215
22.79 steer -8066
22.80 steer -5655
22.81 steer -1804
22.83 steer 0
23.13-28.47 press up
25.39 steer 8802
25.40 steer 11479
25.41 steer 55590
25.42 steer 65536
25.53 steer 65040
25.54 steer 62719
25.55 steer 0
