0.00-19.80 press up
17.78 steer 3087
17.79 steer 9156
17.80 steer 14465
17.81 steer 19774
17.82 steer 25590
17.83 steer 36464
17.84 steer 42530
17.85 steer 47335
17.86 steer 54162
17.87 steer 56437
17.90 steer 56689
17.91 steer 55173
17.92 steer 43541
17.93 steer 35450
17.94 steer 21799
17.95 steer 12696
17.96 steer 5616
17.97 steer 0
18.04 steer -3587
18.05 steer -5103
18.06 steer -6367
18.07 steer -10918
18.08 steer -12687
18.09 steer -21790
18.10 steer -28363
18.11 steer -36455
18.12 steer -41259
18.13 steer -45557
18.14 steer -50108
18.15 steer -57186
18.16 steer -65536
18.34 steer -56935
18.35 steer -39995
18.36 steer -21536
18.37 steer -6874
18.38 steer -5356
18.39 steer -2069
18.40 steer 0
18.55 steer 1825
18.56 steer 4605
18.57 steer 30141
18.58 steer 40761
18.59 steer 50875
18.60 steer 65536
18.91 steer 62758
18.92 steer 55426
18.93 steer 46070
18.94 steer 28625
18.95 steer 21292
18.96 steer 12443
18.97 steer 1571
18.98 steer 0
19.02 steer -1311
19.03 steer -2827
19.04 steer -4091
19.05 steer -6367
19.06 steer -8896
19.07 steer -12436
19.08 steer -24823
19.09 steer -31903
19.10 steer -45050
19.11 steer -50362
19.12 steer -56682
19.13 steer -59715
19.14 steer -60726
19.16 steer -61738
19.22 steer -59969
19.23 steer -55924
19.24 steer -47579
19.25 steer -44293
19.26 steer -42270
19.29 steer -44293
19.30 steer -47833
19.31 steer -56682
19.32 steer -60726
19.33 steer -65278
19.34 steer -65536
19.86 press up
21.00 steer -63762
21.01 steer -42017
21.02 steer -8136
21.03 steer -5609
21.04 steer -2069
21.05 steer 0
21.14 steer -3080
21.15 steer -3838
21.16 steer -5103
21.17 steer -11929
21.18 steer -24572
21.19 steer -32157
21.20 steer -37466
21.21 steer -50108
21.22 steer -55417
21.23 steer -59211
21.24 steer -62498
21.25 steer -64013
21.27 steer -64267
21.30 steer -61738
21.31 steer -55417
21.32 steer -47326
21.33 steer -19767
21.34 steer -8136
21.35 steer -7632
21.39 steer -10665
21.41 steer -28112
21.42 steer -46568
21.43 steer -56682
21.44 steer -64267
21.45 steer -65536
21.61 steer -55417
21.62 steer -39741
21.63 steer -6367
21.64 steer -2827
21.65 steer 0
21.69 steer -5860
21.70 steer -12183
21.71 steer -19514
21.72 steer -36708
21.73 steer -44293
21.74 steer -50108
21.75 steer -60222
21.76 steer -62244
21.77 steer -65536
21.84 steer -62751
21.85 steer -54153
21.86 steer -23308
21.87 steer -7378
21.88 steer -5609
21.89 steer 0
21.94 steer -2827
21.95 steer -3838
21.96 steer -11929
21.97 steer -20274
21.98 steer -30892
21.99 steer -48844
22.00 steer -56682
22.01 steer -65536
22.09 steer -47326
22.10 steer -26088
22.11 steer -6367
22.12 steer 0
22.19 steer -4849
22.20 steer -23812
22.21 steer -35950
22.22 steer -55924
22.23 steer -65536
22.45 steer -40248
22.47 steer -2827
22.48 steer 0
22.61 steer -1816
22.63 steer -9149
22.64 steer -29374
22.65 steer -37719
22.66 steer -56682
22.67 steer -63002
22.68 steer -65536
22.75 steer -62751
22.76 steer -53648
22.77 steer -13194
22.79 steer 0
22.86 steer -4091
22.87 steer -8643
22.88 steer -33675
22.89 steer -45810
22.90 steer -62498
22.91 steer -65536
23.02 steer -38730
23.03 steer -2827
23.05 steer 0
23.23 steer -2827
